시군명,사업장명,인허가일자,영업상태명,폐업일자,축산업무구분명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
가평군,예쁜강아지,20080909,운영중,,동물판매업,경기도 가평군 가평읍 읍내리 475-1번지,경기도 가평군 가평읍 가화로 104-1,12419,37.8289879603,127.5142997125
가평군,굿독,20170227,운영중,,동물판매업,경기도 가평군 가평읍 대곡리 584-4번지,경기도 가평군 가평읍 석봉로3번길 159-48,12416,37.8224578062,127.4927204331
가평군,벨라켄넬,20180725,운영중,,동물판매업,경기도 가평군 북면 백둔리 26-2번지,경기도 가평군 북면 백둔로 134-57,12406,37.8988892041,127.4913846568
가평군,예쁜강아지,20180516,운영중,,동물판매업,경기도 가평군 가평읍 읍내리 475-20번지,경기도 가평군 가평읍 가화로 92,12419,37.8278425756,127.5145757711
가평군,행복한고양이,20180518,운영중,,동물판매업,경기도 가평군 가평읍 대곡리 329-2번지,경기도 가평군 가평읍 문화로 128,12416,37.8245952037,127.5092491480
가평군,상경농장,20171222,운영중,,동물판매업,경기도 가평군 상면 봉수리 21-4번지,경기도 가평군 상면 물골길 150,12440,37.8357043579,127.3110401757
가평군,보우애견샵,20090708,운영중,,동물판매업,경기도 가평군 하면 현리 262-43번지,경기도 가평군 하면 현창로38번길 20-1,12437,37.8197862899,127.3493959508
가평군,(주)코스코케이알,20100310,운영중,,동물판매업,경기도 가평군 설악면 신천리 263번지,경기도 가평군 설악면 신천중앙로28번길 101-60,12467,37.6607306101,127.4900806076
가평군,리얼펫독,20150120,운영중,,동물판매업,경기도 가평군 설악면 신천리 348-3번지,경기도 가평군 설악면 신천중앙로 22,12467,37.6713336315,127.4903879417
가평군,띠울 애견미용,20180426,운영중,,동물판매업,경기도 가평군 가평읍 읍내리 268-9번지,경기도 가평군 가평읍 가화로 142-9,12412,37.8322026219,127.5126066612
가평군,메이플켄넬,20170227,운영중,,동물판매업,,경기도 가평군 가평읍 석봉로3번길 15-60,12416,37.8477015250,127.4521560516
가평군,MY SOUL MATE KENNEL,20180523,운영중,,동물판매업,경기도 가평군 상면 행현리 528-2번지,경기도 가평군 상면 수목원로 269,12448,37.7548554212,127.3613708311
