"","x"
"1"," 사진 헤럴드경제 스타 컬처팀 최민호 기자 발리 섬의 아궁 화산이 분화해 발리 응우라라이 국제공항이 일시 폐쇄된다 인도네시아 발리 섬의 최고봉인 아궁 화산이 분화했다 인도네시아 국가재난방지청 수토포 푸르워 누그로호 대변인에 따르면 분화구에선 화산재와 연기가 솟아오르고 있으며 용암이 차오르는 듯 붉은 빛도 관측 되는 상황이며 일 오전 시 이하 현지시간 부터 오후 시까지로 예정된 공항 폐쇄 조치도 더 연장될 수 있다 아궁 화산은 높이 의 대형 화산으로 년 대규모 분화 당시에는 미처 대피하지 못한 산기슭 주민 여명이 숨지고 수백 명이 다치는 참사가 벌어지기도 했다 이후 여 년 간 잠잠하다가 작년 월부터 다시 활동하기 시작했고 같은 해 월 아궁 화산 분화로 항공 교통이 마비되면서 만 명이 넘는 여행객이 발리에 발이 묶였던 바 있다 당시 아궁 화산에서는 이틀에 걸쳐 네 차례 잇따라 화산재가 뿜어 올랐고 화산 전문가들은 아궁 화산이 본격적인 분화 단계에 접어들었다고 진단했다 그에 따라 인도네시아 국가재난방지청은 아궁 화산의 경보 단계를 단계 중 가장 높은 단계인 위험 으로 높이고 분화구 반경 였던 대피 구역을 로 확대하는 조치를 취했다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"2"," 장마가 시작되면서 후텁지근한 날씨가 이어지고 있습니다 도심 속 피서지인 서울 한강공원 야외수영장이 오늘부터 차례로 문을 엽니다 기상캐스터 연결합니다 질문 남혜정 캐스터 그곳은 시원한가요 리포트 네 연일 장맛비와 습한 날씨 때문에 많이 지치실텐데요 오늘 더위를 해소시켜줄 서울 한강 야외수영장 네 곳이 개장을 맞았습니다 개장 첫날이고 아직 점심 시간도 지나지 않은 시각이라서 이용객들이 많지는 않은데요 도심에 펼쳐진 파란 물결에 마음이 뻥 뚫리는 것 같습니다 질문 오늘 도 안팎의 무더위가 이어진다고 하는데 장맛비가 오는 곳도 있나요 네 오늘은 장마전선이 오후부터 제주에 영향을 주겠고요 내일 아침엔 장맛비가 전국으로 확대됩니다 오늘 낮 동안에는 강원 영서와 남부내륙에 의 소나기가 지나겠고요 돌풍과 벼락을 동반하겠습니다 내일부터 다음 주 월요일 사이엔 전국에 엄청난 비가 쏟아집니다 주말동안 전국에 특히 수도권과 충남서해안 남해안과 제주산지엔 이상의 큰비가 내릴 전망입니다 장마전선에 소형 태풍급 저압부까지 더해지며 물폭탄이 쏟아질 가능성이 큽니다 배수구와 취약한 시설물 보강에 더욱 힘써주시기 바랍니다 장맛비가 내리는 동안은 더위도 쉬어가겠습니다 게릴라성 호우가 예보되며 피해가 우려됩니다 이번 주말엔 야외 활동은 피하시고 실내에서 알찬 시간 보내시는 게 좋습니다 한강 수영장은 월 일까지 운영됩니다 지금까지 한강 뚝섬 수영장에서 채널 뉴스 남혜정입니다 꿈을 담는 캔버스 채널 무단 전재 및 재배포 금지 "
"3"," 서울 강민지 기자 일 오전 서울 성북구 심우장에서 열린 만해 한용운 선사 주기 추모 다례재 에서 참석자들이 추모사를 듣고 있다 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"4"," 서울 강민지 기자 일 오전 서울 성북구 심우장에서 만해 한용운 선사 주기 추모 다례재 에 앞서 합창단이 합창 공연을 하고 있다 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"5"," 서울 강민지 기자 일 오전 서울 성북구 심우장에서 열린 만해 한용운 선생 주기 추모 다례재 에서 법진 스님이 헌향을 하고 있다 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"6"," 외달도 해수풀장 목포 뉴스 박영래 기자 목포시가 사랑의 섬 외달도 해수풀장과 해변을 월 일 개장해 월 일까지 운영한다 시는 해수풀장 바닥매트 교체와 대형 그늘막 해수 공급시설 샤워장 해수욕장 편의시설 등의 정비를 마쳤다 또 해안산책 데크와 해수욕장 주변에 오이 고추 등 채소를 심어 피서객에게 무료로 제공한다 외달도 해수풀장은 년 개장 이후 년까지 무료로 운영했으나 년부터 시설물 유지관리 재원 마련을 위해 입장료 대인 원 소인 원 를 징수하고 있다 목포에서 여객선으로 분 정도 떨어진 외달도는 때묻지 않은 자연을 그대로 간직하고 있는 섬으로 환경부 지정 자연생태 우수마을 국토해양부 우수해수욕장 휴가철 찾아가고 싶은섬 섬 중 쉴 섬 등으로 선정되기도 했다 선박 운항 시간은 목포여객선 터미널에서 오전 시 시 분 오후 시 분 시 분이고 외달도에서는 오전 시 분 시 분 오후 시 분 시 분이다 뉴스 채널설정하기 제보하기 러시아 월드컵 기사보기 뉴스 코리아 무단 전재 및 재배포 금지 "
"7"," 서울 뉴시스 조수정 기자 유병채 문화체육관광부 관광산업정책과장이 일 서울 서계동에서 뉴시스와 인터뷰 하고 있다 사진 영상 제보받습니다 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부 로 보내주시면 적극 반영하겠습니다 "
"8"," 서울 뉴시스 조수정 기자 유병채 문화체육관광부 관광산업정책과장이 일 서울 서계동에서 뉴시스와 인터뷰 하고 있다 사진 영상 제보받습니다 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부 로 보내주시면 적극 반영하겠습니다 "
"9"," 서울 뉴시스 조수정 기자 유병채 문화체육관광부 관광산업정책과장이 일 서울 서계동에서 뉴시스와 인터뷰 하고 있다 사진 영상 제보받습니다 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부 로 보내주시면 적극 반영하겠습니다 "
"10"," 서울 뉴시스 조수정 기자 유병채 문화체육관광부 관광산업정책과장이 일 서울 서계동에서 뉴시스와 인터뷰 하고 있다 사진 영상 제보받습니다 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부 로 보내주시면 적극 반영하겠습니다 "
