"","x"
"1","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
미국 제너럴모터스(GM)의 고급차 브랜드 캐딜락은 서울 용산구에 전시장을 열었다고 29일 밝혔다.새 전시장은 총 연면적 344㎡으로 캐딜락 브랜드 중 서울에서 최대 규모다. 공식 딜러사인 동행모터스가 운영한다. 중형 스포츠유틸리티차량(SUV) XT5와 플래그십(최고급) 세단 CT6 등이 전시돼 있으며 시승 기회를 제공한다.회사 측은 “강변북로 바로 옆에 위치해 접근성이 뛰어나다”며 “오는 9월 가까운 곳에 공식 서비스 센터를 열고 다양한 서비스를 제공할 예정”이라고 설명했다.김영식 캐딜락 총괄 사장은 “네트워크 확보를 통해 접근성 및 편의성을 높여나가겠다”고 말했다.박상재 한경닷컴 기자 sangjae@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지
	
	"
"2","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
스카이스캐너, 한국인 여행객 10명 중 6명 온라인서 '동행' 찾아온라인 동행 구한 지역은 '유럽'이 가장 많아사진=스카이스캐너여행 가격비교사이트 스카이스캐너가 지난 11일부터 14일까지 한국인 남녀 1004명에게 설문조사한 결과, 10명 중 6명은 온라인에서 여행 동행 찾기를 시도하거나 동행과 여행한 적이 있는 것으로 나타났다.동행을 구한 가장 큰 이유는 '식비나 교통비 등 비용 절감(26%)'이 가장 컸다. 이어 새로운 사람을 만나기 위해서(22%), 혼자 다니기 무서워서(21%), 혼자 다니기 외로워서(15%)가 꼽혔다. 이외에도 새로운 경험(11%), 여행지 정보를 얻기 위해(3%) 동행을 찾는 경우도 있었다.동행 찾기가 가장 활발하게 이루어진 여행지는 유럽이었다. 뒤이어 중국, 일본 등 동북아시아(33%), 싱가포르, 베트남 등 동남·서남아시아(11%)가 차지했다.[트래블조선 travel@chosun.com][조선닷컴 바로가기][조선일보 구독신청하기] - Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -
	
	"
"3","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	[일간스포츠 온라인]  KBS '푸드테크 서바이벌 미래식품왕'이 대망의 결선을 앞두고 있다. 우승의 영광을 누가 차지할지 궁금증이 높아지고 있다.지난 2회에서 시제품 컨설팅과 야외 시식부스 미션을 치른 7팀의 고군분투기가 방송됐다. 최종 점수에 반영될 야외 미션의 결과가 공개되지 않아 관심이 쏠리고 있는 상태다.최종회에서는 '돈킹', '맛있는 앰플', '빨강콩패밀리', '아연꽃', '우승한', '작두콩커피', '참아름건강' 등 7개팀 (이상 가나다 순)이 심사위원들의 마음을 사로잡기 위한 최종 발표에 나선다. 우승팀은 야외미션 100점과 6명의 심사위원 점수 600점을 합산한 점수로 결정된다.우승팀에게는 농림수산식품부 장관상을, 2위와 3위에게는 국가식품클러스터 이사장상이 수여되며 각 순위에 따라 국가식품클러스터 지원프로그램 혜택이 주어진다.오는 최종회에서는 실시간 순위 공개 시스템을 통해 뺏고 뺏기는 치열한 1위 쟁탈전이 펼쳐질 예정이다. 과연, 모두의 예상을 뒤엎고 최종 우승을 차지할 ‘미래식품왕’은 누구일까. ‘푸드테크 서바이벌 미래식품왕’ 3회는 7월 1일 일요일 오후 1시 20분 KBS1TV에서 방영된다.온라인 일간스포츠▶일간스포츠 [페이스북] [트위터] [웨이보]ⓒ일간스포츠(http://isplus.joins.com) and JTBC Content Hub Co., Ltd. 무단 전재 및 재배포 금지
	
	"
"4","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
미국 코스메틱 브랜드인 루비키스가 스타필드 코엑스몰에 위치한 삐에로쇼핑 1호점에 지난 28일 입점했다고 밝혔다.루비키스는 글로벌 뷰티브랜드 KISS에서 젊은 글로벌 세대를 타겟으로 만들었다. 이 브랜드는 'Colorful is Beautyful'이라는 메시지에 걸맞게 다양한 색상의 메이크업 제품을 보유하고 있다.특히 인종, 성별과 관계없이 다양한 컬러로 자신의 개성을 표현할 수 있어 미국 10-20대 여성에게 매우 사랑받는 브랜드이다. 이미 루비키스 인스타그램은 11만 명의 팔로워를 가지고 있다.한국 시장에서도 개성적인 다양한 색상과 우수한 품질, 저렴한 가격으로 인해 젊은 여성층에게 환영을 받을 것으로 예상된다.발색과 지속력이 우수하고 끈적임이 없는 리퀴드형 매트 립스틱, 비타민E 성분이 함유되어 보습은 물론, 입술에 생기를 부여해주는 코어 타입의 캔디밤과 같은 립 제품을 포함하여 마스카라, 네일폴리쉬, 메이크업 브러쉬도 만나볼 수 있다.ⓒ 한국경제TV, 무단 전재 및 재배포 금지
	
	"
"5","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
대상에 지체장애 6급 박성진씨15팀 참가해 치열한 경쟁‘제3회 이음가요제’에서 대상을 수상한 박성진씨(사진=빛된소리글로벌예술협회).[이데일리 이윤정 기자] 지난 27일 열린 장애인 스타 발굴 프로젝트 ‘제3회 이음가요제’가 성황리에 마무리 됐다. 문화체육관광부가 후원하고 빛된소리글로벌예술협회가 주최한 이번 가요제에는 전국 각지에서 15팀이 참가하여 치열한 경쟁을 펼쳤다. 지난해와 달리 올해 대회는 예선 경쟁률이 4대1에 이를 정도로 뜨거운 열기를 보였으며 참가자들의 면면도 다채로웠다. 부산에서 온 지체장애 6급의 박성진씨가 ‘그리움만 쌓이네’라는 곡으로 폭발적인 가창력을 선보이며 대상의 영예를 안았다. 참가자 가운데 가장 먼 제주도에서 온 홍관수씨가 금상을 차지했고, 발달장애인 국악소녀 이지원양은 동생 이송연양과 듀엣을 결성해 은상을 수상했다. 지체장애를 가진 엄마와 비장애인 딸의 듀엣(최지혜, 김선순) 무대는 큰 감동을 선사함과 동시에 동상 수상의 기쁨을 누렸다.이번 이음가요제 심사를 맡은 틴틴파이브 멤버이자 재즈 가수인 이동우는 “장애인들이 음악을 통해 자신의 꿈을 이루어 갈 수 있는 무대가 전국적으로 확산되어 지기를 바란다”라고 소감을 전했다. 이번 가요제 입상자 전원은 향후 한국장애인국제예술단의 정단원으로 활동할 수 있는 특전이 주어진다. 대상 수상자는 디지털 싱글 음반도 발매할 예정이다.‘제3회 이음가요제’의 참가자들(사진=빛된소리글로벌예술협회).‘제3회 이음가요제’에 참가한 이지원·이송연 자매(사진=빛된소리글로벌예술협회).이윤정 (younsim2@edaily.co.kr)20~30대를 위한 취업, 금융, 생활 정보가 가득 [스냅타임▶]네이버 홈에서 ‘이데일리’ 기사 보려면 [구독하기▶]최신 웹툰이 매일 공짜... 꿀잼 '웹툰' [감상하기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞
	
	"
"6","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	교육전문기업 비상교육이 전라남도 해남군 저소득 가정 학생들의 학업 능력 향상을 위한 교육지원 사업의 협력사로 선정됐다고 29일 밝혔다./사진=비상교육이에 비상교육은 올해 6월부터 내년 12월 말까지 ‘희망스터디 교육 바우처 지원 사업’의 파트너로 참여하며 희망스터디 사이트를 통해 자사가 운영하는 초등학생 대상 인터넷강의사이트 ‘아이수박씨닷컴’과 중학생 대상 인터넷강의사이트 ‘수박씨닷컴’의 온라인강의를 제공한다.신청 대상에 해당하는 해남군 초·중등 학생들은 1인당 20~40만원이 충전된 바우처 카드를 지원받아 희망스터디 사이트에서 최대 81% 할인된 가격으로 아이수박씨닷컴과 수박씨닷컴 온라인강의를 수강하거나 비상교재를 구입할 수 있다.비상교육 이러닝 마케팅 담당자는 “앞서 비상교육은 2015년부터 경상남도의 교육 지원 바우처 사업인 여민동락에도 참여해 4년 째 협력해오고 있다”며 “앞으로 여민동락과 희망스터디뿐만 아니라 더 많은 지역의 아이들이 배움에서 소외되지 않도록 힘을 보태겠다”고 말했다.  한편 비상교육은 해남군과의 협력을 기념하여 7월 31일까지 전 학년 전 과목 온라인 수강상품인 ‘무한수강’을 구매하면 최대 58%를 할인해주고 4만 캐시를 지급한다. 또한 책가방, 문화상품권, 이어폰 등을 주는 100% 당첨 이벤트도 진행한다.강인귀 기자 deux1004@mt.co.kr▶ 머니S 페이스북  ▶ 머니S 인스타그램  ▶ 최신 웹툰이 매일 공짜"
"7","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
 [앵커] 우리 국민의 육류 소비량이 늘고는 있지만, 권장 섭취량에는 아직 못미치는 것으로 나타났습니다. 특히, 근육이 줄어드는 노년층에선 단백질이 중요한데요,  육류를 하루 200그램 이상 섭취해야 한다고 합니다. 이충헌 의학전문기자의 보도입니다. [리포트] 어르신들이 식당에서 점심 식사를 하고 있습니다. 나물 비빔밥에 생선강정, 쇠고기국을 곁들여 골고루 먹습니다. [권춘자/서울시 마포구 : ""고기도 먹고 여러 가지 먹어요. 똑같이 먹어요 골고루 골고루 다 먹어요.""] 하지만, 육식을 선호하지 않는 어르신도 많습니다. [최숙자/서울시 은평구 : ""육식을 잘 안했어요. 채식을 잘 하고 그래서 과일 같은 거 그것만 좋은 줄 알았거든요.""] 우리 국민의 적색육, 가공육 섭취량은 하루 평균 80그램으로 미국 등 서구 각국에 비해 적은 것으로 나타났습니다. 특히, 노인 2명 중 1명은 단백질 섭취가 부족합니다. 육류를 충분히 먹지 않기 때문입니다. 동물성 단백질은 식물성보다 소화흡수가 더 잘 되고 부족하기 쉬운 철분과 미네랄이 풍부합니다. 근육의 원료가 되는 아미노산은 생선보다 육류에  더 많이 들어 있습니다. 근육량과 면역력을 유지하기 위한 육류 하루 권장 섭취량은 240그램, 백색육과 적색육을 2대 1의 비율로 먹는 게 좋습니다. [김광준/세브란스병원 노년내과 교수 : ""닭고기와 같은 백색육을 100~150그램 정도, 소고기라던지 하는 적색육을 50~100그램 정도를 섭취하시는 게 좋습니다.""] 햄 등 가공육은 암 발생위험을 높이기 때문에 적게 먹어야 합니다. 육류도 굽기 보다는 삶거나 끓여 먹는 게 좋습니다. KBS 뉴스 이충헌입니다.이충헌기자 (chleemd@kbs.co.kr)[저작권자ⓒ KBS 무단복제-재배포 금지]▶ ‘문어 영표’의 월드컵 예언!…오늘도 적중?▶ ‘TV보다 리얼’한 색다른 뉴스!
	
	"
"8","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	국립문화재연구소, 세종대 복식유물 7점 보존처리동궁비 원삼. [국립문화재연구소 제공](서울=연합뉴스) 박상현 기자 = 순종이 대한제국 황태자 시절이던 1906년 혼인할 때 황태자비가 입었던 것으로 추정되는 복식이 한 세기 만에 제 모습을 찾았다.    국립문화재연구소 문화재보존과학센터는 순종의 두 번째 부인 순정효황후(1894∼1966)가 착용한 결혼 예복으로 알려진 '동궁비 원삼'을 비롯해 세종대가 소장한 조선왕실 여성 복식 유물 7점에 대한 보존처리를 완료했다고 29일 밝혔다.    동궁비 원삼은 국가민속문화재 제48호로, 곱고 얇은 직물이 크게 약해진 상태였다. 원삼(圓衫)은 양반가 여성 예복을 뜻한다.    보존센터는 보존처리 과정에서 폭 2.7m에 이르는 무거운 옷을 꺼내고 넣을 때 발생하는 구김을 방지하기 위해 별도로 충전재를 제작해 활용했다고 설명했다.전 왕비 당의. [국립문화재연구소 제공]이번에 보존처리를 마친 다른 유물인 '전(傳) 왕비 당의'(국가민속문화재 제103호)도 순정효황후가 소유했던 옷이다. 당의(唐衣)는 사대부 여인이 저고리 위에 입은 예복으로, 이 옷은 당의 두 벌을 끼워 만들었다.    동궁비 원삼과 전 왕비 당의는 금실로 봉황 문양을 만든 직물을 사용하고, 발톱 5개가 달린 용 문양이 가슴·등·양쪽 어깨에 있는 점이 특징이다.    안보연 국립문화재연구소 학예연구사는 ""순정효황후가 간직한 동궁비 원삼과 전 왕비 당의는 조선 후기 사대부 여성이 입던 옷보다 격식이 높다""며 ""복식사 연구에 큰 도움이 되는 자료""라고 강조했다.     안 연구사는 ""보존처리를 통해 구겨지거나 찢어진 직물을 보강했다""며 ""복식 7점은 지난 27일 세종대에 인계했고, 분석 결과를 정리해 내년에 연구 보고서를 발간할 계획""이라고 말했다.    psh59@yna.co.kr▶기사제보 및 문의▶뉴스가 보여요 - 연합뉴스 유튜브  ▶2018 러시아 월드컵의 모든 것
	
	"
"9","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	 타이어 기업 한국타이어 ‘티스테이션(T’Station)’이 프로야구 구단 ‘두산베어스’와 함께 7월 1일 잠실야구장에서 진행되는 홈경기에서 브랜드데이를 개최한다.이번 브랜드데이가 진행되는 동안 잠실야구장 내?외부에 클리닝타임 이벤트를 진행한다. 한국타이어 교환권 증정 등의 행사도 함께 진행한다. 또한 경기 시작 전에는 중앙매표소 광장에 프로모션 부스를 설치하고 레이싱모델 포토타임, SNS 인증 이벤트와 함께 응원도구 등의 다양한 경품을 제공한다.티스테이션은 2016년부터 3년 연속 두산베어스와 광고 프로모션 계약을 체결하며 매년 브랜드데이를 개최, 야구팬과 함께하는 다양한 스포츠 마케팅 활동을 진행하고 있다. 주요 타겟층 고객에게 브랜드를 알리는 것은 물론 고객 중심의 브랜드 커뮤니케이션 전략도 함께 강화해나갈 계획이다.김경호 기자 사진제공=한국타이어ⓒ 세상을 보는 눈, 글로벌 미디어 세계일보
	
	"
"10","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
캐딜락 용산 전시장 [사진제공=캐딜락] 캐딜락은 29일 서울 중심부에 위치한 용산구 이촌동에 신규 전시장을 오픈하며 서울 강북 지역의 세일즈 및 서비스 강화에 나선다고 밝혔다.캐딜락의 신규 딜러로 위촉된 동행모터스가 운영을 맡은 용산전시장은 철도 교통의 거점역인 용산역과도 인접하며 서울의 동서를 가로지르는 강변북로 바로 옆에 위치해 강북권 고객들의 접근성이 용이하다.캐딜락 용산전시장은 총 면적 344㎡로 단일 전시장으로는 서울권역 최대 규모를 자랑하며 대형 스포츠유틸리티차량(SUV) 에스컬레이드, 어반 럭셔리 SUV XT5, 플래그십 세단 CT6 등 대표 모델 포함 캐딜락 전 차종에 대한 전시 관람 및 직접 시승의 기회를 제공한다.특히, 전시장과 인접한 지역에 6개의 최신 워크베이를 갖춘 공식 서비스센터를 마련해 구매부터 차량관리, 신속한 정비가 가능하며, 뛰어난 기술력을 갖춘 서비스 테크니션이 정확하고 전문적인 서비스로 캐딜락의 ‘원스톱 서비스’를 시행할 계획이다. 캐딜락 용산 서비스센터는 9월 중 오픈 예정이다.김영식 지엠코리아 캐딜락 총괄사장은 “캐딜락만의 ‘아메리칸 럭셔리’를 공감하고 성원해 주시는 고객들이 늘어남에 따라 서울의 중심, 용산구에 공식 전시장을 마련하게 됐다”며 “캐딜락을 믿고 아껴주시는 고객들이 캐딜락만의 차별화된 서비스를 더 쉽게 경험할 수 있도록, 접근성과 편의성을 높인 네트워크 확보와 질적 향상에 박차를 가할 것”이라고 말했다.[디지털뉴스국 박소현 객원기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리 ▶아나운서가 직접 읽어주는 오늘의 주요 뉴스[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
	
	"
