"Dept : 학과		Class : 학년",,,,,,
"City : 거주지역		S : 종합 만족도 지수",,,,,,
"Q1 : 추천의도		Q2 : 재이용의도",,,,,,
Q3 : 학교일체감,,,,,,
,,,,,,
Dept,Class,City,S,Q1,Q2,Q3
컴퓨터과,3학년,경기도,5.048978719,7,5,7
컴퓨터과,3학년,서울시,3.700500192,3,1.5,2.5
컴퓨터과,3학년,경기도,3.526221942,3,1.5,1.5
컴퓨터과,3학년,서울시,5.566281798,5,2.5,4
컴퓨터과,3학년,서울시,5.391624709,5,5,4.5
컴퓨터과,3학년,서울시,6.207098506,7,5.5,5.5
컴퓨터과,3학년,서울시,3.421586257,3.5,1,6
컴퓨터과,3학년,경기도,2.766666571,6.5,7,8
컴퓨터과,3학년,서울시,5.520663347,7,2,6
컴퓨터과,3학년,경기도,4.250531372,2,2,3
컴퓨터과,3학년,경기도,3.8016322,3,1,3.5
컴퓨터과,3학년,경기도,6.34720558,5,3,5
컴퓨터과,3학년,서울시,4.888098135,5,5,5.5
컴퓨터과,2학년,서울시,5.13523913,5.5,2.5,5
컴퓨터과,2학년,서울시,5.473190371,4.5,6,8
컴퓨터과,2학년,서울시,4.905199691,5,4,4.5
컴퓨터과,2학년,경기도,4.89069017,3.5,1,3.5
컴퓨터과,2학년,서울시,4.629955265,5,4.5,6
컴퓨터과,2학년,경기도,5.504286109,6,4.5,6
컴퓨터과,2학년,서울시,5.424968432,6.5,1,10
컴퓨터과,1학년,서울시,4.636490167,6,5,7.5
컴퓨터과,1학년,경기도,4.320858719,4,2,4.5
컴퓨터과,1학년,경기도,4.893516905,7.5,4.5,9
컴퓨터과,1학년,서울시,6.929496155,8,7,7
컴퓨터과,1학년,서울시,4.385877687,4,1.5,2
컴퓨터과,1학년,경기도,5.839511084,7,8,6.5
컴퓨터과,1학년,경기도,4.792947602,4,3.5,3
컴퓨터과,1학년,서울시,3.53133068,3.5,2.5,3
컴퓨터과,1학년,경기도,3.875130903,1,1,1
컴퓨터과,1학년,서울시,3.863727815,3,5.5,9
컴퓨터과,1학년,서울시,5.175144262,4.5,2.5,6.5
컴퓨터과,1학년,서울시,4.488008128,5.5,4.5,5
컴퓨터과,1학년,서울시,3.870992945,6,3.5,5
컴퓨터과,1학년,서울시,5.536083247,7,6.5,10
컴퓨터과,2학년,서울시,3.091350285,2,1,3
컴퓨터과,2학년,경기도,3.090492696,2,1,7
유아교육과,1학년,서울시,4.077481595,5,1.5,4.5
유아교육과,1학년,서울시,6.208261486,7,5.5,5.5
유아교육과,1학년,경기도,5.962508729,6.5,5.5,7
유아교육과,1학년,서울시,3.288662492,3.5,1,2.5
유아교육과,1학년,경기도,3.836692063,3.5,2,5.5
유아교육과,2학년,서울시,3.300818752,3,3.5,5
유아교육과,2학년,경기도,4.729361435,3.5,1,3.5
유아교육과,2학년,서울시,5.496589945,7.5,7.5,8
유아교육과,2학년,경기도,5.688697388,5,5,5
유아교육과,2학년,경기도,4.301879798,6,3,10
유아교육과,2학년,서울시,4.269198094,4.5,2,4.5
유아교육과,1학년,서울시,6.85265308,8.5,7.5,9
유아교육과,1학년,서울시,6.256063515,8,7,7
유아교육과,1학년,서울시,4.576479685,5,3.5,5
유아교육과,1학년,서울시,4.274778288,5,1.5,6.5
유아교육과,1학년,경기도,3.488829009,3,2,6
유아교육과,1학년,경기도,2.816446657,1,1,3
유아교육과,1학년,경기도,2.676005142,1,1,1
유아교육과,3학년,서울시,4.512652523,3,2.5,6.5
유아교육과,3학년,서울시,4.907788648,6,3,7
유아교육과,3학년,서울시,3.768566984,1.5,1,1
유아교육과,3학년,경기도,4.775869513,4,1,1
유아교육과,3학년,경기도,5.501127178,5,5.5,7
유아교육과,3학년,서울시,4.567080392,5.5,5,6
