fat : 지방량
triceps : 삼두근의 두께
thigh : 허벅다리의 둘레
wrist : 팔목의 둘레

fat,triceps,thigh,wrist
11.9,19.5,43.1,29.1
22.8,24.7,49.8,28.2
18.7,30.7,51.9,37
20.1,29.8,54.3,31.1
12.9,19.1,42.2,30.9
21.7,25.6,53.9,23.7
27.1,31.4,58.5,27.6
25.4,27.9,52.1,30.6
21.3,22.1,49.9,23.2
19.3,25.5,53.5,24.8
25.4,31.1,56.6,30
27.2,30.4,56.7,28.3
11.7,18.7,46.5,23
17.8,19.7,44.2,28.6
12.8,14.6,42.7,21.3
23.9,29.5,54.4,30.1
22.6,27.7,55.3,25.7
25.4,30.2,58.6,24.6
14.8,22.7,48.2,27.1
21.1,25.2,51,27.5


