Y : VOD 시청 횟수(단위 : 회)
X1 : VOD 이용 비용(단위 : 원)
X2 : VOD 개수(단위 : 백개)
X3 : 최신작(단위 : 개)
X4 : 광고비(단위 : 십만원)

Y,X1,X2,X3,X4
75,1500,3500,100,100
60,2000,4500,75,100
80,1500,3200,80,150
130,1000,5000,200,200
50,2500,4000,40,0
70,2000,5000,90,50
100,1500,3000,150,200
50,2000,4000,50,50
500,500,5000,600,300
900,500,10000,800,500
400,500,2000,200,200
80,1500,3300,60,100
60,2000,3000,75,150
50,2000,2000,60,50
20,2500,2000,50,0
50,2000,3000,80,100
20,2500,5000,30,0
70,2000,5000,150,100
75,2000,3500,100,150
90,1500,8000,100,200
70,2000,3000,80,100
60,2000,8000,60,100
40,2500,5000,50,0
90,1500,5000,60,100
120,1500,6000,200,200
400,500,3500,200,250
100,2000,4500,100,100
80,2500,5000,60,50
80,2000,6000,80,100
50,2500,3500,60,50
120,1500,8000,150,100
100,1500,7000,100,100
150,1000,2000,200,200
200,500,7000,500,100
100,1000,4500,400,100
80,1000,3300,70,100
300,500,3000,500,200
60,2000,5000,100,26
20,2500,4000,100,0
40,2500,2000,60,0
190,1000,8200,250,250
190,1000,9000,300,200
45,2000,6000,30,50
200,1000,5000,400,250
50,2000,4000,35,30
70,2000,4500,40,50
80,2000,4000,50,100
60,2000,3500,50,60
100,1500,6500,80,100
110,1000,6000,100,100
