gender : 성별
height : 키
weight : 체중

gender	height	weight
남자	166	72.5
남자	143	73.3
남자	172	68.8
남자	134	66.3
남자	172	68.8
남자	151	70.0
남자	155	69.1
남자	178	73.5
남자	180	70.0
남자	166	71.4
남자	186	76.5
남자	132	68.0
남자	171	72.0
남자	187	77.0
남자	191	67.0
남자	192	75.5
남자	181	69.0
남자	144	70.5
남자	148	74.0
남자	179	75.5
여자	118	64.5
여자	147	65.0
여자	146	69.0
여자	138	64.5
여자	175	66.0
여자	118	64.5
여자	155	70.5
여자	146	66.0
여자	135	68.0
여자	127	68.5
여자	136	66.3
여자	122	62.0
여자	114	63.0
여자	140	68.0
여자	106	63.0
여자	159	66.5
여자	127	62.5
여자	143	66.5
여자	153	66.5
여자	139	64.5
