CN : 고객번호
X1 : 결혼상태(0-미혼, 1-기혼, 3-이혼)
X2 : 신용카드(0-미사용, 1-사용)
X3 : 주택소유(0-미소유, 1-소유)
X4 : 집세
X5 : 수입
X6 : 연령
X7 : 거주년수
X8 : 교육년수
X9 : 고객년수
X10 : 근무년수
G : 신용도(0-양호, 1-모호, 3-불량)

CN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,G
111982034,1,1,0,147,353,28,2,16,5,5,0
112444515,2,1,1,0,618,37,5,16,3,6,1
112690708,0,1,0,146,352,21,1,19,7,2,1
114084953,1,1,0,250,600,50,2,16,8,9,0
115345050,1,1,1,336,807,41,41,22,10,10,0
121066616,0,1,1,144,346,20,20,16,3,2,0
123054075,1,1,0,181,436,46,2,16,4,4,0
125277768,1,1,0,184,442,35,1,16,3,4,0
127665534,1,1,0,194,467,41,1,16,4,5,0
128741962,1,1,0,184,443,36,2,17,4,8,0
130167146,2,1,0,835,569,27,1,16,6,8,1
130578888,1,1,1,197,474,34,4,16,5,7,0
141564280,1,1,1,186,447,42,6,16,7,4,0
146173342,1,1,0,142,343,28,3,16,2,5,0
148011679,1,1,0,163,393,26,3,16,5,0,1
148331919,2,1,0,190,458,40,4,16,16,5,1
148907105,0,1,0,176,423,20,5,20,19,0,0
149201816,1,1,0,53,466,31,5,16,18,6,0
153009567,1,1,0,178,429,27,1,16,9,6,1
154438316,1,1,0,1285,489,37,4,19,5,4,0
154454725,1,1,0,643,296,33,8,16,8,7,0
155411844,1,1,0,798,292,26,2,16,2,0,0
156533021,1,1,1,134,323,22,8,16,9,3,0
157256941,1,1,0,148,524,50,30,16,5,9,0
157818727,2,1,0,396,386,24,2,16,16,3,2
158762588,1,1,0,268,644,36,36,19,13,5,0
159171254,2,1,1,0,409,18,6,16,11,0,1
161004560,1,1,1,0,399,27,27,16,3,7,0
164699971,0,1,1,213,513,46,26,16,5,6,1
164750428,0,1,0,210,506,18,2,17,6,2,0
165135134,1,1,0,210,506,41,4,17,0,11,0
167563088,1,1,0,130,314,26,26,16,1,7,0
171376189,1,1,0,1205,437,39,2,16,17,5,0
173235063,1,1,1,0,651,44,6,19,3,7,0
177846109,1,1,0,1921,523,44,2,17,5,5,0
182792037,1,1,1,0,359,35,8,16,11,9,0
183364737,1,1,1,0,515,42,5,16,16,13,0
188984983,1,1,0,119,287,40,2,12,2,11,1
189143435,0,0,0,118,407,21,0,16,1,0,2
192709499,1,1,0,159,383,24,3,16,4,3,0
195617439,2,1,0,262,371,36,36,16,9,4,1
195792621,0,1,0,0,317,45,3,16,5,7,1
197137397,0,1,0,102,451,22,3,16,5,3,0
198935762,1,1,1,202,485,35,7,16,10,10,0
202126695,1,1,1,431,400,27,5,16,3,6,0
202355800,2,1,0,0,411,20,3,16,0,2,1
208315218,1,1,0,114,274,24,3,12,5,0,1
211174483,1,1,0,543,222,18,3,12,11,2,1
213761294,2,1,0,925,442,27,2,16,3,7,0
216000464,1,1,1,155,372,18,3,16,1,0,0
218283114,1,1,0,219,527,24,8,16,2,3,0
220487992,1,1,0,213,513,34,4,16,10,10,0
221333365,1,1,0,188,452,25,2,16,3,4,0
223068876,1,1,0,207,498,38,6,16,6,13,0
223213732,1,1,0,143,344,37,6,16,15,3,0
226243697,1,1,0,0,643,50,2,19,5,6,0
233368753,1,1,0,153,368,39,2,16,7,9,0
241045698,1,1,1,230,553,25,7,16,2,7,0
241764752,1,1,0,0,402,35,35,16,12,8,0
242449730,1,1,1,111,268,26,26,12,4,0,1
246282689,1,1,0,179,430,41,4,16,3,11,0
246404478,0,1,0,1747,235,19,2,16,5,1,0
250724955,1,1,0,328,789,45,2,19,1,7,0
251279750,1,1,1,776,518,43,2,16,3,6,0
251427034,1,1,0,598,234,28,2,12,5,3,1
255182081,1,1,0,153,368,25,7,16,4,5,0
256185462,2,1,0,179,430,38,4,12,4,5,1
257851796,1,1,0,649,385,33,3,16,4,4,0
261238953,0,1,0,141,340,20,3,16,4,0,0
265173472,1,1,0,187,451,36,4,16,11,4,1
266407660,2,1,1,0,264,24,24,12,7,6,1
267685507,2,1,0,0,274,32,1,12,11,13,1
270035776,2,1,0,118,284,18,2,12,1,0,1
270757599,1,1,0,268,644,45,4,16,9,12,0
272331878,1,1,1,262,679,37,8,19,22,7,0
277757270,1,1,1,1085,498,43,7,16,13,9,0
279629673,1,1,0,189,454,34,1,16,7,7,0
282760957,2,1,1,0,318,33,33,16,2,4,1
283614151,0,0,0,0,375,19,0,16,14,0,2
284929467,0,1,0,1335,541,26,1,16,2,6,0
285667573,2,1,0,165,396,32,3,16,3,6,1
285689633,0,1,0,0,393,20,5,16,2,0,0
288039645,0,1,0,1227,365,22,5,16,15,1,0
290815613,1,1,0,509,211,34,1,16,13,7,2
291190040,1,1,0,275,660,36,7,19,12,11,0
294959149,0,0,0,175,422,27,0,16,9,9,2
297867917,0,1,1,102,245,20,3,12,8,2,1
298246182,2,1,0,112,271,30,2,16,18,10,1
299008058,1,1,0,995,923,55,3,22,1,7,0
299097749,1,1,1,197,479,41,4,16,6,11,0
301749852,1,1,1,236,568,20,9,16,7,0,0
305660800,2,1,0,0,550,23,7,16,6,4,0
305761231,0,1,0,851,222,20,1,12,4,0,2
306166026,1,1,1,260,626,26,5,19,7,0,0
310409124,1,1,0,329,375,37,37,19,10,11,0
313298025,0,1,1,122,294,20,20,12,3,2,1
313362974,0,1,0,186,447,20,5,16,5,0,0
316698919,0,1,0,81,195,22,1,12,3,0,2
317166935,2,1,0,0,425,25,3,16,10,6,1
319334340,1,1,0,254,610,41,1,17,3,7,0
319630396,1,1,0,126,304,24,5,16,13,1,0
324331333,1,1,0,644,279,23,23,12,9,0,1
324820546,2,1,0,0,380,19,6,16,5,1,1
325940843,1,1,0,290,697,45,2,19,6,5,0
330144886,1,0,1,176,423,33,0,16,7,8,2
330515320,1,0,1,0,396,27,0,16,5,3,2
331187335,1,1,1,280,672,51,31,19,5,10,0
334410371,1,1,1,167,403,27,4,16,4,3,0
335002662,1,1,0,247,593,44,5,19,4,8,0
338367390,1,1,1,371,568,35,7,19,10,7,0
338405466,1,0,0,171,412,30,0,16,0,3,2
340234063,1,1,0,337,810,32,1,19,9,6,0
343236690,1,1,0,0,377,29,7,16,1,4,1
344707720,1,1,0,684,180,23,3,12,12,1,2
345851451,1,1,1,184,443,28,4,16,3,9,0
348643892,2,1,0,89,215,19,3,12,12,0,2
350386762,0,0,0,0,166,19,1,12,7,0,2
352938627,2,1,0,0,380,33,5,16,9,8,1
355024936,1,1,0,1487,462,30,3,16,12,3,0
359455541,1,1,1,194,467,32,32,16,7,5,0
359822841,1,1,1,203,488,27,27,19,8,4,0
364779841,2,1,0,701,483,22,3,16,10,2,0
365125324,1,1,0,234,562,59,5,19,3,14,1
367453848,1,1,1,285,684,53,5,19,2,10,0
371176401,1,1,0,0,456,44,3,19,5,6,0
372181747,1,1,0,160,384,53,3,16,13,9,0
375745053,1,1,0,178,429,33,3,16,10,6,0
375910955,0,1,0,75,180,18,2,12,12,2,2
384166358,1,0,1,366,476,34,0,16,4,7,2
385604847,1,1,0,155,372,35,35,16,2,3,0
386921832,1,1,0,614,455,35,1,17,2,8,0
387487195,1,1,0,174,418,50,30,16,7,11,0
394742555,1,0,0,0,643,43,7,16,1,13,1
395085766,1,1,0,1564,425,23,1,17,4,4,0
396155466,0,0,0,70,169,19,2,12,6,1,2
396884156,2,1,0,494,264,19,2,12,6,0,1
397107437,1,1,0,278,668,50,2,19,6,9,0
402088901,1,1,0,171,412,31,2,16,1,7,0
404413753,1,1,0,171,378,31,31,16,4,7,0
405096940,2,1,1,380,423,27,27,16,6,4,1
405596106,1,1,0,646,448,40,1,17,1,5,0
405952638,0,1,0,217,523,18,4,16,6,2,0
410235898,1,1,0,271,302,28,1,12,2,3,1
410593006,1,0,0,365,877,59,6,20,7,6,0
410701030,2,1,0,595,254,28,3,12,2,7,1
410828909,1,1,0,0,643,55,35,19,15,6,0
413020648,1,1,0,257,401,30,1,16,9,2,0
413172251,1,1,1,285,481,32,3,16,4,6,0
415205442,1,1,0,189,454,29,2,16,12,3,0
419418563,1,1,1,112,269,28,28,16,5,5,0
423018482,2,1,0,86,208,23,3,12,7,3,1
426130705,0,1,0,240,576,24,24,19,2,2,0
426285696,2,1,1,142,343,29,29,16,6,4,1
428475673,2,1,0,282,679,28,7,19,11,4,0
429013020,1,1,1,0,442,24,5,16,5,2,0
429214838,1,1,1,152,367,33,33,16,2,4,0
430618074,0,1,0,163,392,30,1,16,6,7,0
434675566,1,1,1,0,392,30,30,16,4,9,0
435384902,1,1,1,145,349,27,3,16,2,4,0
440689602,1,1,0,0,355,24,4,16,8,4,0
442321303,1,1,0,1121,405,33,3,16,7,4,0
444272490,0,1,0,175,420,25,1,16,9,0,0
446052754,1,1,0,167,401,36,3,16,3,4,1
446992081,2,1,1,160,586,44,4,19,3,9,1
452047725,1,1,1,0,490,36,2,16,11,8,0
454332296,0,1,0,703,421,21,4,17,1,0,0
456481318,0,1,0,91,220,24,1,12,7,1,2
457500223,1,1,0,151,194,29,1,12,9,6,2
463456125,1,1,0,122,295,29,1,16,4,3,1
464261506,0,1,0,63,152,22,3,12,5,0,2
465329870,1,1,0,1440,587,42,1,19,4,17,0
465507121,1,1,0,0,633,36,3,19,8,3,0
466419329,1,0,0,0,403,23,0,16,10,4,2
467969098,1,1,0,107,258,26,3,12,1,6,1
470613852,1,1,0,168,405,31,4,16,10,1,1
471780965,1,1,1,271,651,44,44,17,3,6,0
471788595,2,1,0,176,424,28,2,16,24,2,1
476304043,0,1,0,681,277,27,2,12,3,6,1
478282496,2,1,0,68,164,28,25,12,6,4,2
479124786,1,1,0,610,397,36,3,16,6,14,0
481007785,1,1,0,308,329,23,8,16,0,3,1
483731575,1,1,0,467,674,45,1,19,4,7,0
484658219,1,1,0,65,158,28,1,12,12,5,2
486781382,1,1,0,188,453,34,2,16,7,11,0
487533928,1,1,1,0,459,30,7,16,26,10,0
493406625,1,1,0,450,337,24,2,12,14,0,1
494567256,2,1,0,287,691,51,31,19,7,8,0
499787570,0,1,1,418,528,21,3,19,8,2,0
500478569,1,1,0,202,485,39,4,17,6,4,0
503505356,1,1,0,170,409,23,23,16,6,3,0
504164900,0,1,0,279,670,44,2,19,2,7,0
509359358,1,1,0,268,644,42,1,19,6,5,0
510766028,1,1,0,485,481,39,1,16,11,4,1
514246190,1,0,1,356,491,50,0,16,8,9,2
516298855,1,1,0,130,312,24,24,16,1,4,1
517772480,0,1,1,524,199,25,22,12,0,4,2
523135932,1,1,1,227,546,33,6,16,9,4,0
524426384,1,1,0,154,370,26,2,16,1,6,0
524897324,1,1,1,179,473,32,4,16,4,5,0
525131833,1,1,0,0,360,26,3,16,10,7,0
529561006,0,1,0,155,374,36,2,16,6,7,0
531242232,1,1,0,142,341,23,3,16,3,2,1
533763063,0,1,0,0,650,38,38,19,5,6,0
537928606,1,1,1,0,498,28,28,16,10,4,0
539971559,1,0,0,80,194,24,1,12,14,2,2
546352357,1,1,0,242,582,45,7,19,2,6,0
549325335,2,1,0,0,651,49,4,16,12,10,1
550125470,1,1,0,203,489,40,4,19,10,7,0
555003305,2,1,0,170,409,32,5,16,7,3,1
556873576,1,1,0,168,405,34,4,16,14,9,0
564365880,0,1,0,115,277,21,2,16,6,3,0
566106734,2,1,0,130,313,32,32,16,2,6,1
566283187,1,1,0,0,358,23,2,16,11,3,0
570720917,0,1,0,461,296,28,3,16,5,6,1
581211927,0,1,0,263,633,38,2,19,3,4,0
582108181,0,1,0,112,269,24,2,12,3,0,1
588722622,2,1,0,205,492,34,1,16,16,4,1
590065818,0,1,0,1346,471,40,1,16,13,16,0
598959522,1,1,0,217,521,47,2,19,6,8,0
600609467,1,0,0,95,230,30,3,12,10,5,2
603818413,1,0,0,347,834,44,2,20,8,10,0
604994921,1,1,0,339,814,55,1,19,4,9,0
605436773,1,1,0,127,306,29,2,16,4,9,1
605512768,1,1,1,197,474,34,34,16,15,10,0
607043367,1,1,0,0,554,29,2,16,4,4,0
611567618,1,1,1,177,426,30,5,16,2,8,0
621001714,2,1,1,166,399,19,5,16,12,0,1
625302204,1,1,0,172,413,28,3,16,3,6,0
635404119,2,1,0,127,307,18,3,12,5,2,1
637709778,1,0,1,0,475,24,0,16,1,1,2
638290834,1,0,1,0,472,36,0,16,10,4,2
648552602,1,1,0,1118,454,41,1,16,7,5,0
650481404,1,1,0,1084,469,49,1,16,6,4,0
652357922,1,1,0,246,591,34,1,19,4,6,0
655198614,1,1,0,190,456,35,2,16,3,3,0
655761062,0,1,0,1409,378,21,2,16,5,1,0
655783515,0,1,1,0,211,28,25,12,3,2,2
656979953,0,1,0,79,191,27,2,12,6,3,2
662291293,1,0,0,0,660,34,0,16,7,9,2
663718884,1,1,1,165,397,36,7,16,7,4,0
665823915,0,1,0,367,161,18,1,12,11,2,2
668213305,1,1,0,275,660,55,3,19,4,7,1
669473634,1,1,0,380,912,65,1,20,1,11,0
671681494,0,1,0,184,443,29,4,16,12,3,0
672105798,0,1,0,180,433,20,3,16,0,0,0
672572174,2,1,1,0,413,25,25,16,3,1,1
675318777,2,1,0,141,339,21,2,16,4,3,1
679217614,1,1,1,228,549,35,35,17,6,10,0
682709326,0,1,1,295,321,26,26,16,7,4,0
683818683,1,1,0,165,396,44,2,19,0,13,0
684732413,1,1,0,0,599,46,3,19,1,16,0
687628493,0,0,0,224,538,20,0,16,24,0,2
688828026,1,1,0,587,378,29,2,16,4,4,0
691384895,0,1,1,0,138,22,19,12,7,3,2
692421348,1,1,0,72,174,24,2,12,6,2,2
696647674,1,0,0,193,465,25,0,16,4,5,2
698952259,1,1,1,166,399,22,6,16,12,0,0
699484694,1,1,0,460,601,54,34,19,11,10,0
701015488,2,1,0,70,147,23,1,12,7,4,2
702219195,1,1,1,277,665,42,3,16,5,5,1
707397065,2,1,1,270,650,38,38,19,7,6,1
708429661,1,1,1,369,887,58,5,20,7,9,0
708954768,1,1,0,166,400,31,31,16,8,6,1
711811378,1,1,0,247,593,27,2,19,5,5,0
713648375,0,1,1,0,409,42,3,16,8,4,2
713747989,1,1,0,1044,435,27,3,16,2,0,0
716903144,0,0,0,81,195,18,1,12,7,2,2
718063599,0,1,0,98,237,22,2,12,1,2,1
720890418,0,1,0,112,269,21,3,12,12,0,2
721906722,1,1,0,189,454,50,5,19,6,10,0
724520206,0,1,1,348,338,21,6,16,4,0,0
724786214,1,1,0,0,337,33,3,16,3,11,0
725193307,1,1,0,826,617,42,2,19,4,5,0
726182123,2,1,0,299,387,19,3,16,1,1,0
726187269,1,1,0,1120,888,48,3,20,5,12,0
732824720,0,0,1,162,444,43,43,16,4,10,1
736292966,1,1,0,277,276,32,2,16,4,5,0
736816229,0,1,0,187,450,26,6,16,7,5,0
737741549,0,1,1,74,178,22,19,12,9,0,2
738161967,2,1,0,173,417,31,3,16,4,7,1
739624533,1,1,0,1395,464,38,2,16,6,3,0
741213338,1,1,0,168,404,23,23,16,10,0,0
741260938,0,1,0,162,390,21,4,16,10,0,0
743757889,1,1,0,105,254,32,4,16,14,5,0
745286423,1,1,0,228,549,29,6,19,6,11,0
746261603,1,0,0,967,421,25,0,16,11,7,2
746841386,0,1,1,463,351,22,22,16,4,2,0
748385252,1,1,0,274,658,44,5,19,2,5,0
748822689,0,1,0,173,417,21,7,16,15,1,0
750974887,1,1,0,240,578,51,2,16,14,13,0
753312157,1,1,0,197,473,37,37,16,9,6,0
755730333,1,1,1,145,349,27,5,16,3,3,0
760608275,0,1,0,0,327,20,3,16,6,0,0
765155180,1,1,0,197,473,47,27,17,5,5,0
772909627,1,1,0,149,358,18,3,16,2,2,0
773676921,1,0,0,167,401,32,0,16,6,12,2
775179809,1,1,0,349,838,84,64,19,2,9,0
776812596,0,1,0,82,198,27,1,12,9,8,2
782718331,1,0,0,150,362,38,2,16,2,5,1
782748532,1,1,0,250,602,63,1,16,4,14,0
784691726,1,1,0,208,500,32,2,16,0,5,0
786008489,1,1,0,0,749,55,1,19,0,8,0
786026393,1,1,0,178,429,43,6,16,12,9,2
788256636,1,0,1,230,553,35,0,16,2,6,2
790967770,1,0,1,177,426,26,0,16,6,2,2
792438620,1,1,0,215,518,44,2,19,12,16,0
795112227,1,1,0,140,336,29,29,16,10,7,0
801674467,0,1,0,121,292,29,1,16,18,5,0
801994895,1,1,1,170,410,32,32,16,8,7,0
802758547,0,0,0,76,184,19,5,12,4,0,2
802999860,1,1,0,0,211,28,1,12,7,3,2
803588731,1,1,0,2473,827,60,2,22,4,7,0
804352775,2,1,0,192,461,20,3,16,5,1,1
805945020,1,1,0,159,383,25,2,16,2,4,0
807754129,0,1,0,0,160,18,15,12,7,2,2
814250965,1,1,0,108,261,24,1,12,3,1,1
815564559,1,1,0,222,535,41,7,19,1,6,0
819183165,1,1,0,168,405,47,3,16,12,9,1
819488536,1,1,0,152,367,27,27,16,8,4,0
822483828,2,1,0,170,408,29,1,12,1,2,1
823133985,2,1,1,156,375,35,35,16,4,4,1
823491870,1,1,1,320,769,63,3,19,10,17,0
824808657,0,1,0,0,271,25,22,12,16,5,2
826130066,1,0,0,170,408,36,0,16,6,3,2
827923168,1,0,0,205,494,33,0,16,13,1,2
831279101,1,1,0,177,425,31,5,16,1,9,0
832631382,1,1,0,106,256,25,22,12,14,4,2
834484103,2,1,0,624,397,19,4,16,4,0,0
836381179,1,1,1,566,441,37,1,17,3,8,0
838372018,1,1,0,165,397,34,3,16,4,11,0
843587722,1,1,0,1690,408,41,2,16,8,5,0
845707276,2,1,1,119,287,27,3,12,8,5,1
849868822,1,1,0,0,588,35,1,19,6,5,0
855651275,0,1,1,596,414,20,5,16,13,1,1
860385872,2,1,0,194,466,20,5,16,7,0,1
860566118,1,0,0,152,365,30,2,16,4,6,1
861738967,1,1,0,217,521,32,1,16,6,8,0
864038119,2,1,1,446,479,47,5,16,3,8,1
864794629,0,0,0,110,264,20,0,16,3,1,2
