Area : 지역
X1 : 강물에서 성장한 길이
X2 : 바닷물에서 성장한 길이

Area	X1	X2
Alaska	108	368
Alaska	131	355
Alaska	105	469
Alaska	86	506
Alaska	99	402
Alaska	87	423
Alaska	94	440
Alaska	117	489
Alaska	79	432
Alaska	99	403
Alaska	114	428
Alaska	123	372
Alaska	123	372
Alaska	109	420
Alaska	112	394
Alaska	104	407
Alaska	111	422
Alaska	126	423
Alaska	105	434
Alaska	119	474
Alaska	114	396
Alaska	100	470
Alaska	84	399
Alaska	102	429
Alaska	101	469
Alaska	85	444
Alaska	109	397
Alaska	106	442
Alaska	82	431
Alaska	118	381
Alaska	105	388
Alaska	121	403
Alaska	85	451
Alaska	83	453
Alaska	53	427
Alaska	95	411
Alaska	76	442
Alaska	95	426
Alaska	87	402
Alaska	70	397
Alaska	84	511
Alaska	91	469
Alaska	74	451
Alaska	101	474
Alaska	80	398
Canada	129	420
Canada	148	371
Canada	179	409
Canada	152	381
Canada	166	377
Canada	124	389
Canada	156	419
Canada	131	345
Canada	140	362
Canada	144	345
Canada	149	393
Canada	108	330
Canada	135	355
Canada	170	386
Canada	152	301
Canada	153	397
Canada	152	301
Canada	136	438
Canada	122	306
Canada	148	383
Canada	90	385
Canada	145	337
Canada	123	364
Canada	145	376
Canada	115	354
Canada	134	383
Canada	117	355
Canada	126	345
Canada	118	379
Canada	120	369
Canada	153	403
Canada	150	354
Canada	154	390
Canada	155	349
Canada	109	325
Canada	117	344
Canada	128	400
Canada	144	403
Canada	163	370
Canada	145	355
Canada	133	375
Canada	128	383
Canada	123	349
Canada	144	373
Canada	140	388
