Year : 두개골 형성 시기의 대략적인 연도 기원전 4000년, 기원후 150년
X1 : Maximum Breadth(mm) 머리뼈의 둘레 중 가장 큰 둘레
X2 : Basibregmatic Height(mm) 기저시상봉합과 관상봉합의 접합점의 크기로 머리뼈의 정수리부터 눈썹뼈 위까지의 길이
X3 : Basialveolar Length(mm) 기조치조의 길이로 맨 앞의 치아부터 혀가 닿는 끝부분까지의 길이
X4 : Nasal Height of Skull(mm) 코의 높이

X1	X2	X3	X4	Year
131	138	89	49	-4000
125	131	92	48	-4000
131	132	99	50	-4000
119	132	96	44	-4000
136	143	100	54	-4000
138	137	89	56	-4000
139	130	108	48	-4000
125	136	93	48	-4000
131	134	102	51	-4000
134	134	99	51	-4000
129	138	95	50	-4000
134	121	95	53	-4000
126	129	109	51	-4000
132	136	100	50	-4000
141	140	100	51	-4000
131	134	97	54	-4000
135	137	103	50	-4000
132	133	93	53	-4000
139	136	96	50	-4000
132	131	101	49	-4000
126	133	102	51	-4000
135	135	103	47	-4000
134	124	93	53	-4000
128	134	103	50	-4000
130	130	104	49	-4000
138	135	100	55	-4000
128	132	93	53	-4000
127	129	106	48	-4000
131	136	114	54	-4000
124	138	101	46	-4000
137	123	91	50	150
136	131	95	49	150
128	126	91	57	150
130	134	92	52	150
138	127	86	47	150
126	138	101	52	150
136	138	97	58	150
126	126	92	45	150
132	132	99	55	150
139	135	92	54	150
143	120	95	51	150
141	136	101	54	150
135	135	95	56	150
137	134	93	53	150
142	135	96	52	150
139	134	95	47	150
138	125	99	51	150
137	135	96	54	150
133	125	92	50	150
145	129	89	47	150
138	136	92	46	150
131	129	97	44	150
143	126	88	54	150
134	124	91	55	150
132	127	97	52	150
137	125	85	57	150
129	128	81	52	150
140	135	103	48	150
147	129	87	48	150
136	133	97	51	150

