SPR:단위무게 당 출력에 비례하는 특정한 출력(specific power)
RGF:비행범위 요인(flight range factor)
PLF:비행기 총 무게의 일부분으로서의 탑재량(patload)
SLF:일관된 무게 요인(sustained load factor)
Car:항공모함에 착륙 가능 1, 착륙 불가능 0

SPR	RGF	PLF	SLF	CAR
1.468	3.30	0.166	0.10	0
1.605	3.64	0.154	0.10	0
2.168	4.87	0.177	2.90	1
2.054	4.72	0.275	1.10	0
2.467	4.11	0.298	1.00	1
1.294	3.75	0.150	0.90	0
2.183	3.97	0.000	2.40	1
2.426	4.65	0.117	1.80	0
2.607	3.84	0.155	2.30	0
4.567	4.92	0.138	3.20	1
4.588	3.82	0.249	3.50	0
3.618	4.32	0.143	2.80	0
5.855	4.53	0.172	2.50	1
2.898	4.48	0.178	3.00	0
3.880	5.39	0.101	3.00	1
0.455	4.99	0.008	2.64	0
8.088	4.50	0.251	2.70	1
6.502	5.20	0.366	2.90	1
6.081	5.65	0.106	2.90	1
7.105	5.40	0.089	3.20	1
8.548	4.20	0.222	2.90	0
6.321	6.45	0.187	2.00	1
