father : ¾Æ¹öÁö Ç÷¾Ð »óÅÂ
child : ÀÚ³à Ç÷¾Ð »óÅÂ

child	father
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	1.low
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	2.normal
1.low	3.high
1.low	3.high
1.low	3.high
1.low	3.high
1.low	3.high
1.low	3.high
1.low	3.high
1.low	3.high
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	1.low
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	2.normal
2.normal	3.high
2.normal	3.high
2.normal	3.high
2.normal	3.high
2.normal	3.high
2.normal	3.high
2.normal	3.high
2.normal	3.high
2.normal	3.high
2.normal	3.high
2.normal	3.high
3.high	1.low
3.high	1.low
3.high	1.low
3.high	1.low
3.high	1.low
3.high	1.low
3.high	1.low
3.high	1.low
3.high	1.low
3.high	1.low
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	2.normal
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
3.high	3.high
