gende : 성별
grade : 학점

gender	grade
남학생	A
남학생	A
남학생	A
남학생	A
남학생	A
남학생	A
남학생	A
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	B
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	C
남학생	D
남학생	D
남학생	D
남학생	D
남학생	D
남학생	D
남학생	F
남학생	F
남학생	F
남학생	F
여학생	A
여학생	A
여학생	A
여학생	A
여학생	A
여학생	A
여학생	B
여학생	B
여학생	B
여학생	B
여학생	B
여학생	B
여학생	B
여학생	B
여학생	B
여학생	C
여학생	C
여학생	C
여학생	C
여학생	C
여학생	C
여학생	D
여학생	D
여학생	D
여학생	D
여학생	D
여학생	D
여학생	F
여학생	F
여학생	F
