Gender : 성별(1-남자, 2-여자)
Age : 연령
X1 : 신체 사이즈 신장
X2 : 가슴둘레
X3 : 허리둘레
X4 : 엉덩이둘레
X5 : 어깨너비
X6 : 바깥소매길이
X7 : 배꼽높이
X8 : 치골높이

Gender	Age	X1	X2	X3	X4	X5	X6	X7	X8
1	15	162.4	79.8	67.0	84.3	41.7	53.7	97.4	77.9
1	16	166.5	82.3	68.7	86.1	42.3	54.7	98.6	78.9
1	17	167.0	83.1	69.0	86.5	42.3	54.7	98.6	78.9
1	18	167.9	85.0	70.4	87.5	43.1	54.9	99.1	78.2
1	19	168.3	85.7	71.3	87.9	43.3	55.1	99.3	78.9
1	20	168.6	86.7	72.8	88.6	43.6	55.5	99.4	79.6
1	23	167.7	87.3	73.7	88.8	43.2	55.3	98.9	79.2
1	28	166.6	89.1	76.9	89.5	42.8	55.5	98.2	77.9
1	33	167.9	90.7	79.8	90.7	43.3	54.6	98.9	78.6
1	38	166.8	91.6	81.8	91.2	43.0	54.4	97.6	76.9
1	43	165.8	92.2	83.2	91.2	42.9	54.1	96.6	76.0
1	51	166.2	90.8	86.5	93.0	43.2	56.7	95.4	74.6
2	15	155.4	79.8	64.1	86.7	41.2	50.1	92.4	74.0
2	16	155.6	80.5	64.6	87.2	41.4	50.1	92.7	74.0
2	17	155.8	81.7	65.2	87.9	41.7	49.9	92.5	74.0
2	18	156.2	82.5	65.6	88.3	41.8	50.3	92.8	74.0
2	19	156.4	82.3	65.1	88.3	41.5	50.5	92.9	74.0
2	20	156.0	82.4	64.9	88.4	41.2	50.6	92.6	73.0
2	23	155.4	82.4	64.8	87.8	40.7	50.4	92.0	73.0
2	28	155.2	82.8	67.4	88.7	41.0	50.0	91.6	73.0
2	33	154.5	84.3	69.4	90.0	41.0	50.1	90.8	72.0
2	38	154.9	86.2	71.7	91.0	41.1	50.1	90.9	73.0
2	43	154.7	89.6	76.4	92.9	41.7	50.5	90.5	73.0
2	51	150.0	88.3	81.4	91.2	39.0	49.6	86.0	68.0
