Gender : 성별
AgeG : 연령
          1 - 29세 이하
          2 - 30대
          3 - 40대
          4 - 50대
          5 - 60세 이상
Job : 직업
          1 - 전문직
          2 - 사무관리직
          3 - 기술/기능직
          4 - 자영업
          5 - 영업직/서비스
Area : 지역
          1 - 서울
          2 - 경기, 인천
          3 - 광역시(인천제외)
          4 - 기타지방도시
X1 : 부채총액(만원)
X2 : 순자산(만원)
X3 : 연평균소득(만원)

Gender,AgeG,Job,Area,X1,X2,X3
남성,3,3,1,10,21.25,3.7
남성,2,2,4,0,7.8,4.5
남성,2,3,1,0,11,4.8
남성,2,2,1,8,9.5,4.6
남성,2,2,4,2,6.9,5
남성,2,2,2,0,30,5
남성,5,2,3,0,15,1
남성,4,3,2,3,28,4.5
남성,4,3,3,0,3,4
남성,4,3,1,0,30,5
남성,2,4,2,0,3.1,4
남성,3,2,2,5,10,4
남성,3,3,2,10,13,3
남성,3,2,2,0,25,4
남성,3,2,2,10,50,10
남성,3,1,3,0,24,10
남성,2,2,2,3,21,6
남성,3,3,3,0,23.5,7
남성,3,2,4,0,10,3.5
남성,2,2,2,0,11.5,4
여성,4,5,1,4,10,1.2
남성,4,4,3,0,6,1
여성,1,5,1,0,10,2
남성,3,4,2,0,48,10
남성,2,3,1,0,17,3
남성,2,5,1,0,24,4
남성,3,2,4,0,23,5
남성,3,2,2,0,22,4
남성,2,4,1,0,10,12
남성,3,1,1,30,30,8.5
남성,3,2,1,0,9,3
남성,3,2,1,7,17,4.5
남성,2,2,1,0,10,4
남성,5,5,1,0,18,1
여성,4,3,2,0,3,1
남성,4,4,2,0,23,3
남성,2,5,1,0,10.03,2.5
남성,5,2,3,0,20,3.6
남성,2,4,2,0,2.5,2.4
남성,2,3,4,1.5,7,5.3
남성,2,5,2,0,14,6
남성,5,2,2,0,20,2.4
남성,3,4,4,0,7,5
남성,3,4,1,0,12,3
남성,4,3,3,3,10,3
남성,3,2,4,0,5,7
남성,2,2,2,10,10,3
남성,3,2,3,0,13,4.5
남성,2,1,1,7,0.2,5
남성,2,4,2,8,27,8
남성,2,4,3,3,10.5,3.2
남성,3,2,2,4,27.8,8
남성,3,2,1,0,12.5,2.5
남성,3,2,3,0,11.1,3.6
남성,4,4,2,0,16,2
남성,4,2,3,0,26,7.5
남성,4,4,3,7,3,3.6
남성,2,2,3,0,12,6
남성,4,4,2,6,14,13
남성,2,1,2,0,12,4
남성,3,4,2,0,7,3
남성,5,4,3,15,25,3.6
남성,2,2,2,0,17.1,4
남성,3,2,2,3,9,4
남성,4,4,1,0,15,3.6
남성,4,3,2,0,2.8,3.6
남성,3,2,2,0,7,4
남성,4,3,2,0,49,6
남성,3,2,2,0,26,5
남성,3,3,2,2,18,3
남성,3,2,2,0,17,6
여성,4,2,1,0,8,2.5
남성,2,2,1,0.1,8.9,2.4
여성,3,2,4,4,17,4
남성,3,2,2,4,6.3,2.4
남성,2,2,2,8,17,3
남성,4,4,1,0,18,4
남성,4,4,4,0,6,3
남성,5,3,1,0,1.8,2
남성,2,2,1,24,31,10
남성,2,2,1,0,19,14
남성,3,2,2,15,33,12
남성,4,4,3,0,4,1.8
남성,3,5,1,0,10,1.5
남성,3,2,2,0,5.6,5
남성,3,3,2,0,6.5,3.5
남성,3,2,2,5,28,6
남성,4,2,1,10,20,2
남성,2,4,2,0,8.5,3.5
여성,5,4,4,1.5,6,2.4
남성,2,4,4,3,12,6
남성,4,5,1,0,8.5,2
남성,3,4,3,0,2,5
남성,3,2,2,0,11.2,8
남성,2,4,2,6.5,11.5,6
남성,3,2,3,4,16,5
남성,3,3,1,0,6,3.6
남성,5,5,1,0,44,2.4
남성,3,2,2,2,11.5,5
남성,3,2,1,3.7,42.2,5
