age,careAddr,careNm,careTel,chargeNm,colorCd,desertionNo,filename,happenDt,happenPlace,kindCd,neuterYn,noticeEdt,noticeNo,noticeSdt,officetel,orgNm,popfile,processState,sexCd,specialMark,weight,
2017(년생),충청남도 공주시 번영1로 54 (신관동) ,강북동물병원,041-856-9900,가축방역팀,황백색,444450201800190,http://www.animal.go.kr/files/shelter/2018/06/201806251606274_s.jpg,20180625,사곡마곡사로 138,[개] 믹스견,N,20180705,충남-공주-2018-00189,20180625,041-840-8899,충청남도 공주시,http://www.animal.go.kr/files/shelter/2018/06/201806251606274.jpg,보호중,F,진드기성 피부염,12(Kg),
2014(년생),충청남도 공주시 번영1로 54 (신관동) ,강북동물병원,041-856-9900,가축방역팀,백색,444450201800189,http://www.animal.go.kr/files/shelter/2018/06/20180625160642_s.jpg,20180625,이인면 신영리 와룡길 107,[개] 말티즈,N,20180705,충남-공주-2018-00188,20180625,041-840-8899,충청남도 공주시,http://www.animal.go.kr/files/shelter/2018/06/20180625160642.jpg,보호중,F,알러지성 피부염,4(Kg),
2017(년생),충청남도 천안시 동남구 목천읍 학수소사길 132 (목천읍) [입양센터:서북구 천안천3길 36] 평일문의 am9~pm6 구조현황 www.a9119.news,천안시유기동물보호소,050-5994-9119,김훈아,흰색,444449201800753,http://www.animal.go.kr/files/shelter/2018/06/201807040007574_s.jpg,20180625,680 *서북구 부대동 육교부근,[개] 믹스견,U,20180712,충남-천안-2018-00726,20180625,041-521-5724,충청남도 천안시,http://www.animal.go.kr/files/shelter/2018/06/201807040007574.jpg,보호중,F,(680),4(Kg),
2018(년생),강원도 철원군 동송읍 이평리 11리 성일동물병원,성일동물병원,033-455-8943,김태건,검 갈,442430201800084,http://www.animal.go.kr/files/shelter/2018/06/201806251606305_s.jpg,20180625,동송열쇠 인근,[개] 미니어쳐 닥스훈트,N,20180705,강원-철원-2018-00079,20180625,033-450-5394,강원도 철원군,http://www.animal.go.kr/files/shelter/2018/06/201806251606305.jpg,종료(반환),M,귀 염증,3.00(Kg),
2015(년생),강원도 철원군 동송읍 이평리 11리 성일동물병원,성일동물병원,033-455-8943,김태건,흰,442430201800083,http://www.animal.go.kr/files/shelter/2018/06/201806251606375_s.jpg,20180625,동송읍 학마을캠프 인근,[개] 도고 아르젠티노,U,20180705,강원-철원-2018-00078,20180625,033-450-5394,강원도 철원군,http://www.animal.go.kr/files/shelter/2018/06/201806251606375.jpg,종료(반환),M,경찰/119 출동하여 구조(포획),50.00(Kg),
2017(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,033-563-0198,최다호,크림색,442429201800149,http://www.animal.go.kr/files/shelter/2018/06/201806251606370[1]_s.jpg,20180625,신동소방서,[개] 그레이트 피레니즈,U,20180702,강원-정선-2018-00149,20180625,033-560-2982,강원도 정선군,http://www.animal.go.kr/files/shelter/2018/06/201806251606370[1].jpg,종료(반환),F,두마리 함께 구조,37(Kg),
2015(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,033-563-0198,최다호,크림색,442429201800148,http://www.animal.go.kr/files/shelter/2018/06/201806251606217_s.jpg,20180625,신동소방서,[개] 그레이트 피레니즈,U,20180702,강원-정선-2018-00148,20180625,033-560-2982,강원도 정선군,http://www.animal.go.kr/files/shelter/2018/06/201806251606217.jpg,종료(반환),F,두마리 함께 구조,45(Kg),
2018(년생),강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,033-563-0198,최다호,크림색,442429201800144,http://www.animal.go.kr/files/shelter/2018/06/201806251406130_s.jpg,20180625,사북읍내,[개] 푸들,N,20180702,강원-정선-2018-00144,20180625,033-560-2982,강원도 정선군,http://www.animal.go.kr/files/shelter/2018/06/201806251406130.jpg,종료(자연사),F,미용되어있음/ 왼쪽 대퇴부 골절,5(Kg),
2018(년생),강원도 태백시 문의재로 5 (통동) ,태백유기동물,010-6380-5566,금치연,흰색,442422201800035,http://www.animal.go.kr/files/shelter/2018/06/201806251606798_s.jpg,20180625,소도동 지지리골 입구 한성장식,[개] 푸들,N,20180705,강원-태백-2018-00038,20180625,033-550-2593,강원도 태백시,http://www.animal.go.kr/files/shelter/2018/06/201806251606798.jpg,보호중,F,순함,3.7(Kg),
2012(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,033-522-2990,조원호,흰갈색,442421201800134,http://www.animal.go.kr/files/shelter/2018/06/201806251706455_s.jpg,20180625,동해시 삼화동 그램그램 주변,[개] 시츄,N,20180705,강원-동해-2018-00115,20180625,033-530-8419,강원도 동해시,http://www.animal.go.kr/files/shelter/2018/06/201806251706455.jpg,보호중,F,상태양호,5(Kg),
